ID,Title,Status,Priority,Type,Milestone,Phase,Labels
"TK-P0-01","ติดตั้ง Godot 4.6 (เลือก build มาตรฐาน หรือ .NET หากใช้ C#)","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-P0-02","สร้าง GitHub repo + เพิ่ม .gitignore ของ Godot และตั้งโครงโฟลเดอร์ (scenes/, scripts/, assets/)","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-P0-03","สร้าง MainMenu.tscn พร้อมปุ่ม Host / Join และช่องกรอก IP:Port","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-P0-04","เขียน NetworkManager (autoload) สร้าง ENetMultiplayerPeer สำหรับ host และ client","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-P0-05","สร้าง TestArena.tscn (พื้น + วงกลม) และสลับ scene หลังเชื่อมต่อสำเร็จ","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-P0-06","ทดสอบเปิดสองอินสแตนซ์ให้เชื่อมกันและพิมพ์ log ยืนยันการเชื่อมต่อ","Backlog","High","task","M0 Networking","Phase 0","task, phase-0, prio-high"
"TK-PX-01","เขียน Logger เป็น Autoload รองรับระดับ log และเขียนลงไฟล์ที่ user://logs/","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-02","ทำ Debug overlay/console เปิด-ปิดด้วยปุ่มลัด (เช่น F3) แสดง FPS/ping/state","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-03","ทำ Performance overlay ใช้ค่าจาก Performance singleton ของ Godot","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-04","ทำ ConfigManager อ่าน/เขียน ConfigFile (user://settings.cfg)","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-05","ทำเมนู Settings: Graphics, Audio, Controls (rebind ปุ่ม)","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-06","วางแนวทาง error handling รวมศูนย์ (จับ error สำคัญและ log)","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
"TK-PX-07","ติดตั้ง GUT (Godot Unit Test) และเขียนเทสตัวอย่างสำหรับ NetworkManager/State","Backlog","Medium","task","MX Dev Infra","Phase X","task, phase-x, prio-medium"
